Customer Name,Total Spent,Total Orders,Average Purchase,Average Monthly Spend,Average Monthly Orders,Last Ordered,Customer Since,Customer Lifetime
Customer2409,$44.02,1,$44.02,$8.80,0,"Sep 02, 2023","May 22, 2019",4 mos 12 dys
Customer8514,$43.98,1,$43.98,$0.65,0,"May 18, 2018","May 18, 2018",5 yrs 7 mos 27 dys
Customer2981,$43.94,3,$14.65,$1.76,0,"Mar 19, 2022","Jan 08, 2022",2 yrs 6 dys
Customer1449,$370.44,9,$41.16,$9.50,0,"Aug 09, 2022","Apr 24, 2020",3 yrs 2 mos 18 dys
Customer2488,$43.93,1,$43.93,$0.92,0,"Jan 28, 2020","Jan 28, 2020",3 yrs 11 mos 17 dys
Customer7633,$43.89,5,$8.78,$4.39,0,"Aug 18, 2023","Jul 11, 2020",9 mos 28 dys
Customer1035,$43.87,1,$43.87,$0.77,0,"Apr 28, 2019","Sep 09, 2017",4 yrs 8 mos 17 dys
Customer5253,$43.84,3,$14.61,$1.83,0,"Aug 09, 2023","Jan 26, 2017",1 yr 11 mos 21 dys
Customer9810,$43.84,2,$21.92,$0.58,0,"May 24, 2018","Oct 12, 2017",6 yrs 3 mos 3 dys
Customer9953,$43.81,4,$10.95,$5.48,0,"Jan 13, 2024","Aug 04, 2022",7 mos 9 dys
Customer9891,$43.80,2,$21.90,$0.58,0,"Jan 23, 2018","Nov 06, 2017",6 yrs 2 mos 8 dys
Customer2092,$43.78,1,$43.78,$0.97,0,"May 15, 2020","May 15, 2020",3 yrs 7 mos 30 dys
Customer6797,$43.72,4,$10.93,$2.91,0,"Jan 06, 2024","Aug 26, 2017",1 yr 2 mos 16 dys
Customer4671,$43.72,2,$21.86,$1.02,0,"May 22, 2023","Jul 02, 2020",3 yrs 6 mos 12 dys
Customer9664,$368.76,25,$14.75,$7.38,0,"Jul 11, 2023","Dec 31, 2017",4 yrs 1 mo 4 dys
Customer9776,$43.71,3,$14.57,$2.57,0,"Feb 27, 2023","Feb 13, 2022",1 yr 4 mos 8 dys
Customer4530,$43.69,1,$43.69,$0.46,0,"Apr 11, 2016","Apr 11, 2016",7 yrs 9 mos 4 dys
Customer9698,$43.67,1,$43.67,$0.97,0,"May 02, 2020","May 02, 2020",3 yrs 8 mos 12 dys
Customer8220,$43.67,3,$14.56,$1.82,0,"Feb 28, 2022","Jun 22, 2018",1 yr 11 mos 26 dys
Customer5727,$43.64,3,$14.55,$1.56,0,"May 01, 2022","Feb 27, 2019",2 yrs 3 mos 13 dys
Customer5773,$43.61,1,$43.61,$1.74,0,"Dec 22, 2021","Mar 19, 2020",2 yrs 23 dys
Customer2521,$43.60,1,$43.60,$2.91,0,"Oct 31, 2022","Apr 06, 2016",1 yr 2 mos 14 dys
Customer6491,$43.55,1,$43.55,$2.29,0,"Jun 19, 2022","May 16, 2020",1 yr 6 mos 26 dys
Customer9494,$43.50,1,$43.50,$7.25,0,"Jul 19, 2023","Jul 19, 2023",5 mos 26 dys
Customer1306,$43.42,2,$21.71,$0.94,0,"Jan 08, 2023","Feb 15, 2014",3 yrs 9 mos 27 dys
Customer9761,$367.89,1,$367.89,$367.89,1,"Jan 19, 2024","Jan 14, 2024",4 dys
Customer1745,$43.39,4,$10.85,$0.41,0,"Dec 08, 2015","May 01, 2015",8 yrs 8 mos 13 dys
Customer2423,$43.39,1,$43.39,$1.74,0,"Dec 27, 2021","Jul 01, 2020",2 yrs 18 dys
Customer9091,$43.39,1,$43.39,$43.39,1,"Jan 06, 2024","Apr 11, 2017",8 dys
Customer4215,$43.39,1,$43.39,$1.97,0,"Apr 08, 2022","Sep 07, 2019",1 yr 9 mos 6 dys
Customer7821,$43.38,1,$43.38,$0.53,0,"Mar 19, 2017","Jan 22, 2017",6 yrs 9 mos 27 dys
Customer1230,$43.25,1,$43.25,$3.93,0,"Mar 04, 2023","Mar 04, 2023",10 mos 10 dys
Customer2659,$43.21,2,$21.61,$2.70,0,"Mar 19, 2023","Jul 29, 2020",1 yr 3 mos 26 dys
Customer9228,$43.18,1,$43.18,$1.17,0,"Jan 08, 2021","Jul 23, 2016",3 yrs 6 dys
Customer7103,$43.17,1,$43.17,$0.63,0,"Apr 24, 2018","Apr 24, 2018",5 yrs 8 mos 21 dys
Customer3101,$43.17,5,$8.63,$0.94,0,"Dec 01, 2021","Jul 04, 2016",3 yrs 9 mos 28 dys
Customer6960,$367.88,13,$28.30,$17.52,0,"Dec 11, 2023","Apr 19, 2019",1 yr 8 mos 26 dys
Customer6779,$43.13,1,$43.13,$1.05,0,"Sep 03, 2020","Sep 03, 2020",3 yrs 4 mos 11 dys
